"Total_Value","Year","Month","Day","Hour","Ventilation","Sokets_Plug","Lighting","Other_Electricity","Cooling","Heating"
49.501,2021,6,12,10,5,10.063,5,7.563,18.375,3.5
3.375,2021,5,30,4,1.875,0.5,1,0,0,0
328.688,2021,6,18,20,84.875,22.75,14.938,0,200.125,6
309.001,2021,6,7,14,46.875,49.063,42.563,95.875,66.625,8
162.5,2021,6,10,7,30.75,14.75,7,83.75,20.25,6
275.751,2021,6,8,14,166.5,30.813,32.563,0,34.125,11.75
161.752,2021,5,27,6,3,12.563,9.688,90.938,17.313,28.25
328.688,2021,6,17,11,84.875,22.75,14.938,0,200.125,6
233.251,2021,6,4,22,18,12.188,10.625,11.688,176,4.75
328.688,2021,6,19,4,84.875,22.75,14.938,0,200.125,6
90.751,2021,5,22,19,6.875,11.188,6.813,32.5,27.625,5.75
425.688,2021,6,11,17,79.375,26.75,25.313,0,288,6.25
248.501,2021,5,27,9,125.625,14.188,16,44.313,39.375,9
328.688,2021,6,17,17,84.875,22.75,14.938,0,200.125,6
64.001,2021,6,14,5,6.5,14,5.563,6.688,26.25,5
133.001,2021,5,30,0,6.375,14.438,7.563,77.75,20.875,6
16.938,2021,6,10,11,1.5,10.125,5.313,0,0,0
149.75,2021,5,25,6,9.375,13.625,8.5,80.25,27.75,10.25
176,2021,5,24,8,8.125,11.875,12.75,69.75,17.5,56
328.688,2021,6,14,18,84.875,22.75,14.938,0,200.125,6
124.501,2021,5,23,19,7.5,17.313,6.813,68.875,18,6
278.501,2021,6,8,12,19.625,27.125,32.063,175.313,17.875,6.5
160.001,2021,5,26,0,37.625,12.688,5.5,75.813,21.875,6.5
52.001,2021,6,12,7,4.75,9.125,4.063,8.938,21.125,4
129.5,2021,6,5,21,4.25,11.5,6.375,77.5,23.875,6
145.002,2021,6,10,6,8.625,25.563,6.563,69.313,28.938,6
71.375,2021,6,13,17,6.625,20.375,7.875,0,31,5.5
328.688,2021,6,17,5,84.875,22.75,14.938,0,200.125,6
8.063,2021,6,10,2,1.125,1.75,5.188,0,0,0
59.563,2021,6,13,20,5.125,19.813,6.875,0,21.5,6.25
328.688,2021,6,16,9,84.875,22.75,14.938,0,200.125,6
328.688,2021,6,18,13,84.875,22.75,14.938,0,200.125,6
161.75,2021,5,27,0,37.75,12.25,9,79.625,16.875,6.25
54.875,2021,6,12,1,5.125,10,2.75,0,33,4
122.501,2021,5,29,4,3.25,9.75,3.688,83.688,16.125,6
328.688,2021,6,15,14,84.875,22.75,14.938,0,200.125,6
169.25,2021,6,1,7,22.875,16.75,13.25,73.25,37.875,5.25
64.75,2021,6,13,3,4.875,12.125,6.875,8.375,26.25,6.25
116,2021,6,5,4,3.75,9.375,3.375,80.875,13.625,5
120.751,2021,5,23,14,8.25,25.313,8.813,52.125,20,6.25
64.752,2021,6,13,6,7.125,13.563,5.688,7.063,26.063,5.25
328.688,2021,6,17,10,84.875,22.75,14.938,0,200.125,6
328.688,2021,6,19,15,84.875,22.75,14.938,0,200.125,6
121.251,2021,6,8,4,2.875,8.5,3.938,82.625,17.063,6.25
183.75,2021,5,28,0,131.125,13.25,9.25,0,23.875,6.25
330.501,2021,5,26,12,91.75,36.438,36.563,109.125,48.625,8
77.5,2021,6,11,4,5.5,11.25,4.5,18.75,31.5,6
135.001,2021,6,5,5,8.875,13.25,7.438,74.938,24.5,6
71.251,2021,6,14,7,14.75,11.25,6.188,9.313,23.5,6.25
130.001,2021,6,5,17,5.125,13.438,5.75,79.063,20.625,6
127.75,2021,5,29,22,3.75,11.125,3.5,84,19.625,5.75
135.001,2021,6,10,3,10.75,13.938,7.125,72.688,24.5,6
20.626,2021,5,22,11,2,5.063,3.375,0,6.438,3.75
328.688,2021,6,16,21,84.875,22.75,14.938,0,200.125,6
211,2021,6,1,8,32,14.25,14.375,109.375,35,6
77.375,2021,6,1,14,68.625,1.875,6.875,0,0,0
1.751,2021,5,29,8,1,0.688,0.063,0,0,0
145.251,2021,5,23,21,9.375,18.188,6.563,61.625,26.75,22.75
328.688,2021,6,16,0,84.875,22.75,14.938,0,200.125,6
264.501,2021,6,8,13,18,27.063,32.813,163.75,15.375,7.5
124.751,2021,5,24,2,9.125,14.5,8.063,65.313,21.5,6.25
145.251,2021,6,2,6,6.375,12.188,6.938,96,18,5.75
328.688,2021,6,17,2,84.875,22.75,14.938,0,200.125,6
12.063,2021,6,9,20,1,8.188,2.875,0,0,0
133.501,2021,5,24,14,6.625,22.375,15.938,57.75,24.813,6
64.001,2021,6,14,3,5.875,12.688,5.438,13.25,19.25,7.5
328.688,2021,6,17,0,84.875,22.75,14.938,0,200.125,6
139.002,2021,5,28,6,13.75,11.563,6.188,84.188,17.313,6
141.75,2021,6,1,4,5.875,13,7.875,87.25,22,5.75
118.251,2021,5,30,18,6.375,20.5,5.188,57.813,22.125,6.25
225.751,2021,6,3,9,85.5,15.563,19.563,72.25,26.625,6.25
328.688,2021,6,20,6,84.875,22.75,14.938,0,200.125,6
7.625,2021,6,9,14,1.375,4.5,1.75,0,0,0
76.251,2021,5,22,16,11.125,10.563,5.938,16.125,26.25,6.25
61.751,2021,6,13,5,7.125,15.688,6.5,0.5,26.188,5.75
328.688,2021,6,15,4,84.875,22.75,14.938,0,200.125,6
272.251,2021,5,28,8,67.875,12.25,14.313,77.313,27.75,72.75
134.251,2021,6,1,1,19.5,12.688,5.875,68.313,22.125,5.75
33.688,2021,5,22,8,2,1.688,3.875,0,5.875,20.25
130,2021,5,25,5,6.375,13.75,9.375,72.25,17.25,11
269.751,2021,5,27,14,155.625,30.563,36.125,19.438,20.75,7.25
6.001,2021,6,11,2,1.625,3.938,0.438,0,0,0
217.751,2021,5,28,21,61.5,19.375,14.813,91.5,24.313,6.25
66.251,2021,6,14,6,7.75,13.313,5.625,3.313,30.5,5.75
128.25,2021,5,29,9,4.125,11.5,4.625,84.625,17.125,6.25
328.688,2021,6,19,18,84.875,22.75,14.938,0,200.125,6
155.501,2021,6,1,10,49.75,20.188,17.375,15.188,46,7
83.001,2021,5,23,4,7,4.75,0.313,67.438,0,3.5
34.438,2021,5,21,11,2.5,10.375,10.188,0,4.625,6.75
126,2021,6,6,8,6,13.625,6.625,75.25,18.5,6
22.125,2021,5,23,2,1.5,3.25,4.125,0,9.75,3.5
172.501,2021,5,22,6,7.5,12.813,6.938,80,17.75,47.5
129.751,2021,6,3,5,6.5,14.688,9.5,71.938,20.875,6.25
128.751,2021,6,3,2,10,13.375,5,75.813,18.813,5.75
328.688,2021,6,16,17,84.875,22.75,14.938,0,200.125,6
328.688,2021,6,17,4,84.875,22.75,14.938,0,200.125,6
187.25,2021,5,21,16,57.75,23.625,32,55.875,10.25,7.75
217.25,2021,6,7,8,49.125,16.125,16.625,95.25,25.875,14.25
328.688,2021,6,19,11,84.875,22.75,14.938,0,200.125,6
168.501,2021,6,2,0,31.125,13.375,5.875,89.938,22.188,6
114.501,2021,5,29,16,10.375,12.5,3.813,56.563,25.25,6
10.751,2021,5,29,14,4.625,0.563,5.563,0,0,0
300.25,2021,5,31,13,88.125,44.375,38.375,103.375,17.25,8.75
289,2021,5,26,11,135.125,37.875,34,48.875,24.625,8.5
23.751,2021,5,22,20,1.375,4.438,3.063,0,11.125,3.75
328.688,2021,6,15,0,84.875,22.75,14.938,0,200.125,6
328.688,2021,6,15,16,84.875,22.75,14.938,0,200.125,6
159.251,2021,6,9,7,15.625,9.188,4.625,106.563,17.5,5.75
58.313,2021,6,12,14,7.5,16,4.938,0,23.875,6
328.688,2021,6,16,2,84.875,22.75,14.938,0,200.125,6
328.688,2021,6,14,14,84.875,22.75,14.938,0,200.125,6
68.813,2021,5,27,17,63,0.438,5.375,0,0,0
121,2021,5,30,3,1.875,6,1.125,101,5,6
328.688,2021,6,19,8,84.875,22.75,14.938,0,200.125,6
119.5,2021,5,23,18,8.625,16.875,7.5,59.25,20.75,6.5
125,2021,6,9,4,5.625,9.875,3.625,78.75,21.125,6
131.751,2021,5,25,4,10.375,13.938,8.188,62.75,30.25,6.25
294.001,2021,6,3,16,78.125,23.813,42,126.313,16.75,7
132.001,2021,5,24,3,6.25,11.438,7.5,78.813,20.5,7.5
12.563,2021,6,4,14,7.875,2.688,2,0,0,0
123.751,2021,5,30,7,8.125,12.25,4.438,72.063,21.125,5.75
62.875,2021,6,13,13,6.25,25.5,4.875,0,20.75,5.5
304.501,2021,6,9,12,83.5,29.75,37.563,110.438,35.75,7.5
326.25,2021,5,26,19,74.5,23.375,30.125,91,18,89.25
130.501,2021,5,24,22,8.125,14.563,12.375,73.438,15.5,6.5
262.501,2021,5,28,16,85,31.063,32.5,88.188,18.25,7.5
9.5,2021,6,6,4,2.125,6,1.375,0,0,0
167.001,2021,5,25,7,29,11.688,9.563,86,20.75,10
7.626,2021,6,10,23,1.25,5.688,0.688,0,0,0
3.938,2021,5,29,23,2.75,0.5,0.688,0,0,0
328.688,2021,6,18,1,84.875,22.75,14.938,0,200.125,6
328.688,2021,6,18,0,84.875,22.75,14.938,0,200.125,6
121.25,2021,6,6,15,5.125,16.875,5.25,71.75,16.5,5.75
25.625,2021,5,22,14,2.125,6.875,4.875,0,8.25,3.5
439.439,2021,6,11,15,45.75,29.313,32.313,0,324.063,8
281.001,2021,5,27,18,69.125,46.5,32.375,91.563,26.938,14.5
136.751,2021,6,6,14,8.875,25.188,5.625,54.875,35.938,6.25
215.001,2021,6,1,23,31.625,16.75,7.063,131.563,22,6
91.438,2021,6,11,1,19.125,9.625,4.813,0,51.625,6.25
41.501,2021,5,21,14,3.5,11.938,14.688,0,6.625,4.75
328.688,2021,6,15,18,84.875,22.75,14.938,0,200.125,6
233.751,2021,6,9,21,74.875,20.938,20.563,78.375,32.75,6.25
141,2021,6,4,3,6,12.875,3.25,83.875,29,6
87.251,2021,5,23,1,4,9.875,6.063,43.688,17.375,6.25
121.001,2021,6,6,22,7.125,13.125,3.813,70.188,21.25,5.5
10.563,2021,6,9,17,0.75,8.625,1.188,0,0,0
22.938,2021,6,2,5,21.5,0.625,0.813,0,0,0
115.751,2021,6,5,10,4.625,7.188,3.875,81.563,13.75,4.75
111.188,2021,6,3,11,104.25,1.25,5.688,0,0,0
130.501,2021,6,6,12,5.875,21.688,3.875,75.063,18,6
456.439,2021,6,4,18,81.875,24.188,29.313,0,314.563,6.5
217.001,2021,5,26,22,122.125,18,13.438,31.813,25.625,6
156.251,2021,6,8,7,24,11.375,4.563,92.438,17.625,6.25
213.5,2021,5,25,8,63.875,11.75,11.125,103.875,10.875,12
55.313,2021,6,2,14,44.125,4.063,7.125,0,0,0
300.001,2021,6,3,15,73.875,26.563,41,114.813,35.25,8.5
193.751,2021,5,25,22,51.75,16.125,10.438,93.438,16.25,5.75
217.001,2021,6,8,8,56.625,12.438,12.313,103.125,26.5,6
223.251,2021,5,23,20,8,19.813,8.125,77.438,20.625,89.25
142.501,2021,6,7,4,7.25,12.125,7.188,85.688,25.25,5
269.001,2021,6,10,13,85.875,26.438,37.563,93.625,19,6.5
328.688,2021,6,19,21,84.875,22.75,14.938,0,200.125,6
61.001,2021,6,13,22,4.375,17,4.063,12.188,18.375,5
284.251,2021,5,27,15,49.5,24.75,32.563,143.563,25.625,8.25
254.501,2021,6,10,10,82.25,18.188,24.688,104,15.375,10
328.688,2021,6,15,17,84.875,22.75,14.938,0,200.125,6
173.75,2021,6,7,7,2.375,8.375,4.875,136.125,16.75,5.25
301.001,2021,6,7,16,80.625,34.5,36.938,80.5,62.438,6
292.25,2021,6,8,21,183.375,20.625,19,0,63.25,6
71.126,2021,6,14,2,8.75,14.438,6.438,0,35.5,6
328.688,2021,6,19,3,84.875,22.75,14.938,0,200.125,6
124.501,2021,6,2,4,19,10.313,4.75,66.063,18.375,6
25.813,2021,5,28,20,21.625,1.625,2.563,0,0,0
160.001,2021,6,3,7,14.5,9.813,6.25,105.688,17.75,6
144.251,2021,6,3,6,7.625,13.063,6.375,78.063,33.375,5.75
297.5,2021,5,21,18,48.625,26.75,32.75,122.5,18.875,48
69.75,2021,6,13,14,6.125,24,6.5,0,26.875,6.25
305.5,2021,5,28,12,134.25,28.75,37.375,65.75,32.375,7
113.001,2021,6,5,16,6.5,9.375,3.813,74.563,13.75,5
291.25,2021,5,27,12,79.25,29.125,31.25,124.125,21.25,6.25
297.5,2021,6,4,15,52.375,41.75,39.25,130.75,25.375,8
